name,price,county,town,address,lng_wgs84,lat_wgs84
辰凯紫薇苑,24312,金山,石化,(金山石化)蒙山路1517弄,121.3372314,30.73626502
酱园新村,24336,浦东,祝桥,"(浦东祝桥)南塘街158号, 南塘街75号",121.7505507,31.11766606
新城明月苑,24347,崇明,崇明新城,(崇明崇明新城)绿海路501弄,121.4303375,31.62982288
御景龙庭,24369,金山,金山,(金山金山)学府路818弄,121.3181376,30.73399446
泰南花苑,24396,奉贤,奉贤金汇,"(奉贤奉贤金汇)振泰路168弄, 泰南新村",121.5572492,30.98292798
航星新村,24410,奉贤,南桥,(奉贤南桥)新建东路104号,121.4619273,30.92160201
友爱路11号,24424,青浦,香花桥,(青浦香花桥)友爱路11号,121.0941271,31.21922776
南方国际广场,24433,奉贤,南桥,(奉贤南桥)南奉公路8509弄,121.4792116,30.91766133
多伦多大厦,24454,虹口,四川北路,(虹口四川北路)四川北路1885号,121.4790374,31.26402876
海尚馨苑,24490,金山,山阳,(金山山阳)海盛路515弄,121.3439789,30.75714337
海上湾华庭紫园,24508,青浦,朱家角,(青浦朱家角)绿舟路228弄,121.0225738,31.11615546
江秋新苑(别墅),24510,松江,佘山,"(松江佘山)桃源西路388弄（一期）,桃源西路688弄（二期）",121.165752,31.10024835
清河路375号,24530,嘉定,菊园新区,(嘉定菊园新区)清河路375号,121.2333512,31.38033831
东卫小区,24542,浦东,惠南,(浦东惠南)靖海路128弄,121.7651277,31.04681258
三岛龙州苑,24549,金山,石化,(金山石化)蒙山路1498弄,121.3370439,30.73633903
谈家桥支路163弄,24573,闸北,大宁,(闸北大宁)谈家桥支路163弄,121.4484506,31.26253771
人民北路99号,24578,奉贤,南桥,(奉贤南桥)人民北路99号,121.4522483,30.92044027
金悦华庭,24611,金山,张堰,(金山张堰)卫零北路799弄,121.3252333,30.7522755
龙源星城,24641,浦东,惠南,(浦东惠南)人民东路22弄,121.7795287,31.04862847
民惠佳苑(三区),24641,青浦,香花桥,(青浦香花桥)香大路848弄256-358号,121.1023243,31.21456222
乐康苑,24663,奉贤,西渡,(奉贤西渡)肖塘路146弄,121.4319907,30.963675
欧韵艺墅(公寓),24669,嘉定,安亭,(嘉定安亭)新源路788弄,121.1492508,31.3018
乾耀东港,24669,浦东,泥城镇,(浦东泥城镇)霞光路368弄,121.8030962,30.90271391
阳光葡提公馆,24705,嘉定,嘉定新城,(嘉定嘉定新城)宝乐路58弄,121.2839872,31.33309828
