gml_id,Name_town,layer,code_town,grade,code_front6,Name_county,code_county,price
layer_township_pg.19393,海门市临江新区管理委员会,乡镇,320684414000,4,320684,海门市,320684000000,
layer_township_pg.19397,海永乡,乡镇,320684200000,4,320684,海门市,320684000000,
layer_township_pg.20408,黎里镇,乡镇,320509110000,4,320509,吴江区,320509000000,
layer_township_pg.20409,城厢镇,乡镇,320585100000,4,320585,太仓市,320585000000,
layer_township_pg.20410,科教新城,乡镇,320585403000,4,320585,太仓市,320585000000,
layer_township_pg.20411,经济开发区,乡镇,320585400000,4,320585,太仓市,320585000000,
layer_township_pg.20415,浏河镇,乡镇,320585102000,4,320585,太仓市,320585000000,
layer_township_pg.20416,浮桥镇,乡镇,320585103000,4,320585,太仓市,320585000000,
layer_township_pg.20468,周庄镇,乡镇,320583107000,4,320583,昆山市,320583000000,
layer_township_pg.20469,淀山湖镇,乡镇,320583105000,4,320583,昆山市,320583000000,
layer_township_pg.20474,千灯镇,乡镇,320583108000,4,320583,昆山市,320583000000,
layer_township_pg.20475,花桥镇,乡镇,320583104000,4,320583,昆山市,320583000000,
layer_township_pg.20476,开发区,乡镇,320583400000,4,320583,昆山市,320583000000,
layer_township_pg.27561,魏塘街道,乡镇,330421001000,4,330421,嘉善县,330421000000,
layer_township_pg.27563,西塘镇,乡镇,330421103000,4,330421,嘉善县,330421000000,
layer_township_pg.27565,惠民街道,乡镇,330421003000,4,330421,嘉善县,330421000000,
layer_township_pg.27567,姚庄镇,乡镇,330421111000,4,330421,嘉善县,330421000000,
layer_township_pg.27571,新仓镇,乡镇,330482103000,4,330482,平湖市,330482000000,
layer_township_pg.27574,广陈镇,乡镇,330482106000,4,330482,平湖市,330482000000,
layer_township_pg.27575,新埭镇,乡镇,330482102000,4,330482,平湖市,330482000000,
layer_township_pg.27577,独山港镇,乡镇,330482108000,4,330482,平湖市,330482000000,
